ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
530,0,0,1,2,0,1,0,0,3,1,0
531,0,0,0,2,0,0,3,3,3,2,0
532,1,0,0,2,1,0,3,3,3,1,0
533,1,0,1,2,0,0,0,3,3,0,0
534,0,0,0,2,1,0,3,3,3,2,0
535,1,0,0,2,1,0,0,3,3,2,1
536,0,0,0,1,0,0,0,0,3,2,0
537,0,0,0,0,0,1,0,0,3,1,0
538,1,0,1,0,0,0,3,3,3,2,0
539,0,0,1,0,0,1,3,0,3,2,1
540,1,0,0,0,0,0,0,0,3,0,0
541,1,0,0,0,0,0,0,0,3,0,0
542,0,0,0,2,0,1,3,3,3,2,1
543,0,0,1,2,0,0,3,3,3,2,1
544,0,0,1,2,0,1,0,0,3,2,0
545,0,0,1,2,0,1,0,0,3,1,0
546,0,0,1,2,0,1,0,0,3,1,0
