ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
198,1,33,Male,Married,10000,Frist-Hand,607707,480000,120,4.284,Matching_The_Principal_Repayment
199,0,33,Male,Single,8500,Frist-Hand,670716,370000,120,4.158,Average_Capital_Plus_Interest_Repayment
200,1,33,Male,Married,10000,Frist-Hand,915281,3.00E+05,120,5.049,Matching_The_Principal_Repayment
201,1,33,Female,Married,8000,Frist-Hand,1068454,740000,120,6.12,Matching_The_Principal_Repayment
202,1,33,Female,Single,20000,Second-Hand,1060623,830000,120,6.0435,Average_Capital_Plus_Interest_Repayment
203,1,33,Male,Married,6500,Frist-Hand,442980,220000,120,6.579,Average_Capital_Plus_Interest_Repayment
204,1,33,Female,Married,60000,Second-Hand,1207042.83,7.00E+05,120,8.6928,Average_Capital_Plus_Interest_Repayment
205,1,33,Female,Married,25000,Second-Hand,673888,4.00E+05,120,6.6555,Average_Capital_Plus_Interest_Repayment
206,1,34,Male,Single,11000,Frist-Hand,601513,480000,120,5.049,Average_Capital_Plus_Interest_Repayment
207,1,34,Female,Married,28000,Frist-Hand,616820,430000,120,6.12,Matching_The_Principal_Repayment
208,1,34,Female,Married,15000,Frist-Hand,334833,267000,120,6.12,Average_Capital_Plus_Interest_Repayment
209,0,34,Male,Married,11500,Frist-Hand,1501639.42,4.00E+05,120,4.158,Average_Capital_Plus_Interest_Repayment
210,1,34,Male,Married,15000,Frist-Hand,1108656,4.00E+05,120,5.814,Average_Capital_Plus_Interest_Repayment
211,1,34,Male,Married,30000,Second-Hand,1751274,1200000,120,6.6555,Average_Capital_Plus_Interest_Repayment
212,1,34,Male,Married,8000,Frist-Hand,521663,410000,120,5.814,Matching_The_Principal_Repayment
213,0,34,Male,Married,8000,Frist-Hand,1198112.52,560000,120,5.049,Average_Capital_Plus_Interest_Repayment
214,0,34,Female,Married,7200,Frist-Hand,767654.02,3.00E+05,120,4.158,Matching_The_Principal_Repayment
215,0,35,Female,Single,3500,Second-Hand,451867.18,190000,120,4.158,Average_Capital_Plus_Interest_Repayment
216,0,35,Female,Married,4500,Second-Hand,408232.87,150000,120,5.346,Average_Capital_Plus_Interest_Repayment
217,0,35,Female,Married,25000,Frist-Hand,1265189.95,480000,120,4.158,Average_Capital_Plus_Interest_Repayment
218,1,35,Male,Married,25000,Frist-Hand,1068288,640000,120,6.6555,Average_Capital_Plus_Interest_Repayment
219,0,35,Female,Unknown,12000,Frist-Hand,1043505.75,420000,120,4.158,Matching_The_Principal_Repayment
220,0,35,Female,Single,30000,Frist-Hand,753238.7,320000,120,5.049,Matching_The_Principal_Repayment
221,0,35,Male,Married,8200,Frist-Hand,725732.58,380000,120,4.032,Matching_The_Principal_Repayment
222,0,35,Female,Unknown,20000,Frist-Hand,2061843.84,840000,120,5.049,Average_Capital_Plus_Interest_Repayment
223,1,35,Male,Married,5300,Second-Hand,180999,120000,120,6.6555,Average_Capital_Plus_Interest_Repayment
224,1,36,Male,Married,5600,Second-Hand,375200,1.00E+05,120,7.2063,Average_Capital_Plus_Interest_Repayment
225,0,36,Female,Married,8000,Frist-Hand,1138614.28,530000,120,4.158,Matching_The_Principal_Repayment
226,0,36,Male,Single,13800,Frist-Hand,1243774.5,540000,120,4.158,Average_Capital_Plus_Interest_Repayment
227,1,36,Male,Married,NA,Second-Hand,1337206,830000,120,5.202,Average_Capital_Plus_Interest_Repayment
228,1,36,Male,Married,15000,Frist-Hand,563835,4.00E+05,120,5.751,Average_Capital_Plus_Interest_Repayment
229,1,36,Female,Married,15000,Second-Hand,305646,2.00E+05,120,6.12,Matching_The_Principal_Repayment
230,0,36,Male,Single,6500,Frist-Hand,419772.63,150000,120,4.158,Average_Capital_Plus_Interest_Repayment
231,0,36,Male,Married,12000,Frist-Hand,1492236.71,619000,120,4.158,Matching_The_Principal_Repayment
232,0,36,Male,Single,6000,Frist-Hand,1053353.34,150000,120,5.049,Average_Capital_Plus_Interest_Repayment
233,1,36,Male,Single,12800,Frist-Hand,584904,460000,120,6.6555,Average_Capital_Plus_Interest_Repayment
234,1,36,Male,Single,20000,Frist-Hand,831103,660000,120,6.12,Average_Capital_Plus_Interest_Repayment
